model,prompt,completion
curie,"Do you mention the ""Bootlegger and Baptist"" theory often? Russ Roberts responds:","I don't think so. I used it in the book. It's a good example of the way that economics and social science and history have a lot in common. It's often said that the Bootlegger and Baptist theory is the attempt to justify what the politicians are doing. And I think it's the other way around. I think it's the politicians who justify what they want to do by appealing to the Bootlegger and Baptist theory. In a way, it's a way to make yourself feel good about what you're doing. And it's really hard to fight against it. It's hard to say, 'Well, I don't want to do this because it's bad for the poor. I think that's a really good argument. But most of us don't think that way. Most of us think, 'Well, it's not so bad on the poor. We'll take care of them. We'll give them a handout. We'll have a tax cut for them. We'll help them. We'll do this. And the politicians, of course, are aware of that. They appeal to that. And I think it's a very deep and powerful phenomenon."
curie,"As a proponent of free markets, are you attracted to the ""Bootlegger and Baptist"" theory? Russ Roberts responds:","Well, I'm not a big fan of the Bootlegger and Baptist theory, but I'm not sure it's a good theory either. I think the empirical evidence that--I'm not sure it's true. I think it's true that some people are more likely to give money to a politician that they think is going to help their own self-interested, ideological, ideological self. I think it's true that there are people out there who are crony capitalists. I think it's certainly true that there are people out there who are ideological, who are more likely to support politicians that are ideologically like them, and so on. I think there's some truth to the idea that some people are more likely to support politicians that are ideologically like them. And I think it's true that there are people out there who are crony capitalists. I think it's certainly true that there are people out there who are ideological, who are more likely to support politicians that are ideologically like them, and so on. I think there are real issues there. I'm not sure it's the right theory, but I think it's true."
curie,How skeptical are you of empirical research published in academic journals? Russ Roberts responds:,"I'm skeptical of most of it. I think there's some really good work that gets published in those journals. But I think there's a lot of work that's just not very good. I think the peer review process is very imperfect. I think that's true in economics as well as other fields. I think that's true in psychology as well; I think there's a lot of psychological research that gets published that is not of very much value. I find it a little bit of an insult to my intelligence to be honest. I can't imagine sitting in the armchair and feeling, 'Well, this was a good study, this was a bad study. I think a lot of the studies are flawed. I think it's very hard to tease out the true effect of a policy change in, say, a randomized control trial, that's where I think a lot of the work gets published. I think the sample is not large enough, I don't think the controls are good enough. I think there's a lot of mistakes in the analysis and the cherry picking of the data. I think it's a very imperfect science. I think the peer review process is not good. I think the journals are not good publications--except"
curie,"Do you believe that ""data can speak for itself"" as a general principle? Russ Roberts responds:","Well, I'm skeptical about that. I think the question is: Is it true? So, you know, the question is: Do we have enough evidence to demonstrate that one intervention works better than another? And I think we need to be honest about that. And I think we need to be honest about the fact that there are going to be biases in our data sets. We need to be careful about how we try to control for those. So, I have some--I'm a big fan of experimental economics. And I think experimental economics is very important. I don't think randomized control trials are the be-all and end-all. I think we need to be honest about the fact that what works in one place is not necessarily going to work in another place. So, I think there's a lot of issues that we've got to be honest about. I'm not a big fan of the phrase 'data can speak for itself. That's a phrase that sometimes comes up in the literature. And I understand the appeal of it. I think it's true--that if you have a large enough sample, you can make strong claims about the average impact of an intervention. But the phrase itself--I think it's over"
curie,"How would Russ Roberts finish the following sentence from Adam Smith: ""Man desires not only to be loved","but to be lovely. """
curie,"Finish the following sentence by FA Hayek: ""The curious task of economics","is to demonstrate to men how little they can be relied upon to know about what they imagine they know. """
curie,"Why do you think Nassim Taleb's ""skin in the game"" is a deep thought? Russ Roberts responds:","Well, I don't know about that, but it's a nice thought. I think it goes back to the issue of self-interest versus public interest. The idea of living in a system where I'm not insulated from the consequences of my actions and I have to take a little bit of risk--it's a very deep idea that I think is very powerful. And I think it's very difficult to implement. I think it's a nice thought--but I don't know if it's a good idea. It's hard to know."
curie,"In what way does understanding the challenge around ""creating a prairie"" align with F A Hayek's famous maxim about the curious task of economics? Russ Roberts responds:","Well, I think there's a couple of lessons in there for us. I think the first is that a lot of what we think of as our knowledge, our understanding, is not just false but of limited use. So, when we think we have a grasp on some particular issue, we often are just fooling ourselves. And I think that's a very important lesson. I think the second lesson is that we have to be humble enough to realize that we don't have the answers, and we have to be open enough to realize that we may be wrong. And I think that's very important. But the third part of that is, I think, the most important part. And that is that we have to be willing to change our mind. And I think one of the hallmarks of a good economist is that you are open to that. I think most economists I know are very skeptical about their own knowledge and the knowledge of their colleagues. And I think that's a good thing. But I think the reason you have to be open to that is because the world changes. And what you thought was true yesterday may not be true today. And it's good to be open to that."
curie,"Why is it harder to ""create a prairie"" then it seems? Russ Roberts responds:","Well, that's a really interesting question. And, I think part of the answer is that it is harder to create a prairie. It's hard to convert grassland into prairie. It's not that hard to convert prairie into a field again. But, that's not what we're talking about here. The question is, why is it hard to create a prairie? Why is it hard to create a prairie that has a different--a different ecological function? And, I think the answer to that is that, as you said, it's not just the grasses and the prairie. It's the soil, it's the insects, it's the wildlife. It's a whole ecosystem that comes together to make a prairie. And, the fact that it's more complicated is really the reason that the prairie has survived for so long."
curie,"As a free market economist, why are you drawn to the idea of the ""Chesterton Fence""? Russ Roberts responds:","Well, there are two parts to that. One is that, as an economist, I'm skeptical of the ability of government to solve problems. So, I'm very much in favor of limited government. And the other part of that is that I'm skeptical of what I call 'redistribution. So, the idea that government would take money from one group of people and give it to another group of people is deeply, deeply troubling to me. So, the question is: How do we justify that? How do we justify the fact that we have a safety net? How do we justify that the government has the power to take money from people who are rich and give it to people who are poor? And I think the answer--it's a very good question, and I think the answer is that it's not just the poor who are poor. It's the rich too. It's the middle class. And they suffer the same challenges. And so, the idea that we would do that, I think, is immoral. It's a bad idea. And I think it's deeply immoral. So, that's the first part of the story. The second part of the story is that, as I said, I think the"
